Treaty,Section,TreatyPeriodStartDate,UnderwritingYear
1013968,1,1800-01-01,1800
1013968,1,2006-09-01,2006
1013968,1,2007-09-01,2007
1013968,1,2008-09-01,2008
1013968,10,1800-01-01,1800
1013968,10,2009-09-01,2009
1013968,10,2010-09-01,2010
1013968,10,2011-05-16,2011
1013968,10,2011-09-01,2011
1013968,10,2012-09-01,2012
1013968,10,2013-09-01,2013
1013968,10,2013-12-01,2013
1013968,10,2014-09-01,2014
1013968,10,2015-09-01,2015
1013968,10,2016-09-01,2016
1013968,10,2017-09-01,2017
1013968,10,2018-09-01,1800
1013968,10,2018-11-01,1800
1013968,11,1800-01-01,1800
1013968,11,2013-12-01,2013
1013968,11,2014-09-01,2014
1013968,11,2015-09-01,2015
1013968,11,2016-09-01,2016
1013968,11,2017-09-01,2017
1013968,11,2018-09-01,1800
1013968,11,2018-11-01,2018
1013968,11,2019-11-01,2019
1013968,11,2020-11-01,1800
1013968,12,1800-01-01,1800
1013968,12,2018-11-01,2018
1013968,12,2019-11-01,2019
1013968,12,2020-11-01,2020
1013968,12,2021-11-01,2021
1013968,12,2022-11-01,1800
1013968,13,1800-01-01,1800
1013968,13,2018-11-01,2018
1013968,13,2019-11-01,2019
1013968,13,2020-11-01,2020
1013968,13,2021-11-01,2021
1013968,13,2022-11-01,1800
1013968,14,1800-01-01,1800
1013968,14,2018-11-01,2018
1013968,14,2019-11-01,2019
1013968,14,2020-11-01,2020
1013968,14,2021-11-01,2021
1013968,14,2022-11-01,1800
1013968,15,1800-01-01,1800
1013968,15,2018-11-01,2018
1013968,15,2019-11-01,2019
1013968,15,2020-11-01,2020
1013968,15,2021-11-01,2021
1013968,15,2022-11-01,1800
1013968,2,2006-09-01,2006
1013968,2,2007-09-01,2007
1013968,2,2008-09-01,2008
1013968,3,2006-09-01,2006
1013968,3,2007-09-01,2007
1013968,3,2008-09-01,2008
1013968,4,2006-09-01,2006
1013968,4,2007-09-01,2007
1013968,4,2008-09-01,2008
1013968,4,2009-09-01,2009
1013968,5,1800-01-01,1800
1013968,5,2006-09-01,2006
1013968,5,2007-09-01,2007
1013968,5,2008-09-01,2008
1013968,5,2009-09-01,2009
1013968,5,2010-09-01,2010
1013968,5,2011-05-16,2011
1013968,5,2011-09-01,2011
1013968,5,2012-09-01,2012
1013968,5,2013-09-01,2013
1013968,5,2013-12-01,2013
1013968,5,2014-09-01,2014
1013968,6,2006-09-01,2006
1013968,6,2007-09-01,2007
1013968,6,2008-09-01,2008
1013968,6,2009-09-01,2009
1013968,6,2010-09-01,2010
1013968,6,2011-05-16,2011
1013968,6,2011-09-01,2011
1013968,6,2012-09-01,2012
1013968,6,2013-09-01,2013
1013968,6,2013-12-01,2013
1013968,6,2014-09-01,2014
1013968,7,2006-09-01,2006
1013968,7,2007-09-01,2007
1013968,7,2008-09-01,2008
1013968,7,2009-09-01,2009
1013968,7,2010-09-01,2010
1013968,8,2009-09-01,2009
1013968,9,1800-01-01,1800
1013968,9,2009-09-01,2009
1013968,9,2010-09-01,2010
1013968,9,2011-05-16,2011
1013968,9,2011-09-01,2011
1013968,9,2012-09-01,2012
1013968,9,2013-09-01,2013
1013968,9,2013-12-01,2013
1013968,9,2014-09-01,2014
1013968,9,2015-09-01,2015
1013968,9,2016-09-01,2016
1013968,9,2017-09-01,2017
1013968,9,2018-09-01,1800
1013968,9,2018-11-01,1800
1013968,-99,1800-01-01,1800
1013968,-99,2006-09-01,1800
1013968,-99,2007-09-01,1800
1013968,-99,2008-09-01,1800
1013968,-99,2009-09-01,1800
1013968,-99,2010-09-01,1800
1013968,-99,2011-05-16,1800
1013968,-99,2011-09-01,1800
1013968,-99,2012-09-01,1800
1013968,-99,2013-09-01,1800
1013968,-99,2013-12-01,1800
1013968,-99,2014-09-01,1800
1013968,-99,2015-09-01,1800
1013968,-99,2016-09-01,1800
1013968,-99,2017-09-01,1800
1015353,1,1800-01-01,1800
1015353,1,2015-07-01,2015
1015353,1,2016-07-01,2016
1015353,1,2017-07-01,2017
1015353,1,2018-07-01,2018
1015353,1,2019-07-01,2019
1015353,1,2020-07-01,2020
1015353,1,2021-07-01,2021
1015353,1,2022-07-01,1800
1015353,-99,1800-01-01,1800
1015353,-99,2015-07-01,1800
1015353,-99,2016-07-01,1800
1015353,-99,2017-07-01,1800
1015353,-99,2018-07-01,1800
5000133,1,1800-01-01,1800
5000133,1,2016-07-01,2016
5000133,1,2017-07-01,2017
5000133,1,2018-07-01,2018
5000133,1,2019-07-01,2019
5000133,1,2020-07-01,2020
5000133,1,2021-07-01,2021
5000133,1,2022-07-01,1800
5000133,2,1800-01-01,1800
5000133,2,2016-07-01,2016
5000133,2,2017-07-01,2017
5000133,2,2018-07-01,2018
5000133,2,2019-07-01,2019
5000133,2,2020-07-01,2020
5000133,2,2021-07-01,2021
5000133,2,2022-07-01,1800
5000133,3,1800-01-01,1800
5000133,3,2019-07-01,2019
5000133,3,2020-07-01,2020
5000133,3,2021-07-01,2021
5000133,3,2022-07-01,1800
5000133,-99,1800-01-01,1800
5000133,-99,2016-07-01,1800
5000133,-99,2017-07-01,1800
5000133,-99,2018-07-01,1800
5014612,1,1800-01-01,1800
5014612,1,2018-01-01,2018
5014612,1,2019-01-01,2019
5014612,1,2020-01-01,2020
5014612,1,2021-01-01,2021
5014612,1,2022-01-01,2022
5014612,1,2023-01-01,1800
5014612,2,1800-01-01,1800
5014612,2,2018-01-01,2018
5014612,2,2019-01-01,2019
5014612,2,2020-01-01,2020
5014612,2,2021-01-01,2021
5014612,2,2022-01-01,2022
5014612,2,2023-01-01,1800
5014612,-99,1800-01-01,1800
5015447,1,1800-01-01,1800
5015447,1,2018-01-01,1800
5015447,1,2019-01-01,1800
5015447,1,2019-04-01,2019
5015447,1,2020-01-01,2020
5015447,1,2021-01-01,2021
5015447,1,2022-01-01,2022
5015447,1,2023-01-01,1800
5015447,-99,1800-01-01,1800
5020668,1,1800-01-01,1800
5020668,1,2022-01-01,2022
5020668,1,2023-01-01,1800
5020668,2,1800-01-01,1800
5020668,2,2022-01-01,2022
5020668,2,2023-01-01,1800
5020974,1,1800-01-01,1800
5020974,1,2022-01-01,2022
5020974,1,2023-01-01,1800
5020974,2,1800-01-01,1800
5020974,2,2022-01-01,2022
5020974,2,2023-01-01,1800
5020974,3,1800-01-01,1800
5020974,3,2022-01-01,2022
5020974,3,2023-01-01,1800
5021020,1,2022-04-01,1800
9047554,1,1997-01-01,1997
9047554,1,1998-01-01,1998
9047554,1,1999-01-01,1999
9047554,1,2000-01-01,2000
9047554,1,2001-01-01,2001
9047554,1,2002-01-01,2002
